date,code,location,PS,year,TL_mm,C_mariae_total,notes,long,lat,,,,,,
11.8.16,UW49202,S arm of Bay of Isles,1,1989,213,0,,-122.288,47.64934,,,,,,
11.1.16,4495,North Beach,1,1939,204,0,Multiple tumors,-122.4065,47.70962,,,,,,
11.15.165,4491,North Beach,1,1939,127,0,,-122.4065,47.70962,,,,,,
11.15.165,4491,North Beach,1,1939,86,0,,-122.4065,47.70962,,,,,,
12.15.16,4839,North Beach,1,1940,157,0,,-122.4065,47.70962,,,,,,
12.15.16,4839,North Beach,1,1940,116,0,,-122.4065,47.70962,,,,,,
12.15.16,4839,North Beach,1,1940,109,0,,-122.4065,47.70962,,,,,,
12.15.16,4839,North Beach,1,1940,108,0,,-122.4065,47.70962,,,,,,
12.15.16,5036,North Beach,1,1938,139,0,"Tumor, ventral fin, non eyed",-122.4065,47.70962,,,,,,
12.15.16,5036,North Beach,1,1938,108,0,"2 tumors, ventral and tail fin",-122.4065,47.70962,,,,,,
11.8.16,UW49202,S arm of Bay of Isles,1,1989,165,0,,-122.288,47.64934,,,,,,
10.25.16,UW 48587,Meadow Point,1,1990,197,0,,-122.4243,47.7007,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,257,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,238,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,179,0,,-122.4054,47.61267,,,,,,
10.26.16,4794,Redondo Beach,1,1939,151,0,All looked very clean.,-122.3422,47.3531,,,,,,
10.26.16,4794,Redondo Beach,1,1939,159,0,No strange growth,-122.3422,47.3531,,,,,,
10.26.16,4794,Redondo Beach,1,1939,150,0,of discolorations.,-122.3422,47.3531,,,,,,
10.26.16,4794,Redondo Beach,1,1939,146,0,,-122.3422,47.3531,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,210,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,195,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,185,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,181,0,,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,301,1,Small bump top of noneyed,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,270,1,Oval lump. Discoloration.,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,202,4,Small lumps,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,250,7,Bumps and bulges on body/fins,-122.4054,47.61267,,,,,,
10.18.16,UW 110312-A,Elliot Bay,1,1992,220,10,Extremely lumpy,-122.4054,47.61267,,,,,,
11.29.16,UW110373,Holmes Harbor,1,1992,144,0,Present in most fish in jar.,-122.5249,48.04189,,,,,,
11.29.16,UW110374,Holmes Harbor,1,1992,128,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110375,Holmes Harbor,1,1992,209,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110376,Holmes Harbor,1,1992,221,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110377,Holmes Harbor,1,1992,194,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110378,Holmes Harbor,1,1992,175,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110379,Holmes Harbor,1,1992,170,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110380,Holmes Harbor,1,1992,169,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110381,Holmes Harbor,1,1992,156,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110382,Holmes Harbor,1,1992,155,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110383,Holmes Harbor,1,1992,170,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110384,Holmes Harbor,1,1992,154,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110385,Holmes Harbor,1,1992,145,0,Large tumor. Eyed side,-122.5249,48.04189,,,,,,
11.29.16,UW110386,Holmes Harbor,1,1992,138,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110387,Holmes Harbor,1,1992,137,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110388,Holmes Harbor,1,1992,119,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110389,Holmes Harbor,1,1992,127,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110390,Holmes Harbor,1,1992,131,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110391,Holmes Harbor,1,1992,129,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110392,Holmes Harbor,1,1992,125,0,,-122.5249,48.04189,,,,,,
12.7.16,18222,San Juan Deadmans Cove,1,1963,117,0,,-122.9941,48.54748,,,,,,
10.25.16,17077,San Juan East Sound,1,1964,214,0,,-122.9941,48.54748,,,,,,
10.25.16,17077,San Juan East Sound,1,1964,202,0,,-122.9941,48.54748,,,,,,
10.25.16,17077,San Juan East Sound,1,1964,156,0,,-122.9941,48.54748,,,,,,
10.25.16,17077,San Juan East Sound,1,1964,157,0,Some white spots,-122.9941,48.54748,,,,,,
12.15.16,15961,San Juan Is,1,1960,119,0,,-122.9941,48.54748,,,,,,
11.29.16,UW110393,Holmes Harbor,1,1992,135,0,,-122.5249,48.04189,,,,,,
11.29.16,UW110394,Holmes Harbor,1,1992,133,0,,-122.5249,48.04189,,,,,,
10.25.16,UW 154261,San Juan Is,1,1952,184,1,Lots of discoloration,-122.9941,48.54748,,,,,,
11.15.165,1133,San Juan Is False Bay,1,1930,129,0,,-122.9941,48.54748,,,,,,
11.9.16,2269,San Juan Is Talon Bay,1,1932,123,0,,-122.9941,48.54748,,,,,,
11.9.16,2269,San Juan Is Talon Bay,1,1932,120,0,,-122.9941,48.54748,,,,,,
11.9.16,2269,San Juan Is Talon Bay,1,1932,117,0,,-122.9941,48.54748,,,,,,
12.15.16,UW112224,Rolling Bay,1,1993,116,0,,-122.5022,47.66807,,,,,,
12.15.16,UW112224,Rolling Bay,1,1993,124,0,,-122.5022,47.66807,,,,,,
12.15.16,UW112224,Rolling Bay,1,1993,117,0,Slightly spotty on non-eyed side,-122.5022,47.66807,,,,,,
12.15.16,UW112224,Rolling Bay,1,1993,108,0,,-122.5022,47.66807,,,,,,
12.15.16,UW112208,Rolling Bay,1,1993,126,0,,-122.5022,47.66807,,,,,,
12.15.16,UW112208,Rolling Bay,1,1993,141,1,White lump on dorsal fin,-122.5022,47.66807,,,,,,
12.15.16,UW112218,Rolling Bay,1,1996,154,0,,-122.5022,47.66807,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,235,0,,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,250,0,Dark spot,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,225,0,Spots on fins,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,226,0,,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,230,0,,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,240,0,,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,236,0,,-122.377,47.6103,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,239,0,,-122.377,47.6103,,,,,,
10.19.16,4579,Sandspit Ballard Locks,1,1939,161,0,,-122.4112,47.67337,,,,,,
10.19.16,4579,Sandspit Ballard Locks,1,1939,150,0,,-122.4112,47.67337,,,,,,
10.19.16,4579,Sandspit Ballard Locks,1,1939,128,0,,-122.4112,47.67337,,,,,,
10.19.16,4579,Sandspit Ballard Locks,1,1939,140,0,,-122.4112,47.67337,,,,,,
10.19.16,4579,Sandspit Ballard Locks,1,1939,204,12,Many visible worms,-122.4112,47.67337,,,,,,
11.2.16,UW 110080,Seahurst,1,1938,225,2,"1 eyed side, 1 non-eyed side",-123.0228,48.1329,,,,,,
11.15.165,17210,Shaw Is San Juan,1,1964,112,0,,-122.9941,48.54748,,,,,,
10.26.16,UW 048204,Myrtle Edwards,1,2003,231,0,Small dorsal bump.,-122.377,47.6103,,,,,,
10.26.16,UW 048204-30,Myrtle Edwards,1,2003,220,1,Small lumps on dorsal fin,-122.377,47.6103,,,,,,
10.26.16,UW 048204-29,Myrtle Edwards,1,2003,245,1,Some lumps. One in mouth.,-122.377,47.6103,,,,,,
10.26.16,UW 048204-33,Myrtle Edwards,1,2003,248,3,Dark lumps noneyed,-122.377,47.6103,,,,,,
12.7.16,UW047658,Myrtle Edwards Park,1,2003,213,0,Small lumps,-122.377,47.6103,,,,,,
10.26.16,UW 115034,Port Orchard,1,2006,154,0,,-122.6472,47.5463,,,,,,
10.26.16,UW 115033,Port Orchard,1,2006,225,3,Discolored lumps. Dark chunks.,-122.6472,47.5463,,,,,,
11.30.16,UW152697,E Sound Friday Harbor,1,2007,139,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151703,San Juan Is,1,2007,177,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151709,San Juan Is,1,2007,173,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151710,San Juan Is,1,2007,135,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151712,San Juan Is,1,2007,136,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151713,San Juan Is,1,2007,141,0,Lots of discoloration,-122.9941,48.54748,,,,,,
11.1.16,UW 151716,San Juan Is,1,2007,140,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151717,San Juan Is,1,2007,131,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151718,San Juan Is,1,2007,136,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151719,San Juan Is,1,2007,130,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151720,San Juan Is,1,2007,99,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 151721,San Juan Is,1,2007,95,0,Tiny spot of discoloration,-122.9941,48.54748,,,,,,
11.1.16,UW 151702,San Juan Is,1,2007,198,1,Worm on fin?,-122.9941,48.54748,,,,,,
11.1.16,UW 151704,San Juan Is,1,2007,245,1,On ventral fin,-122.9941,48.54748,,,,,,
11.1.16,UW 151708,San Juan Is,1,2007,164,1,Ventral side,-122.9941,48.54748,,,,,,
11.1.16,UW 151715,San Juan Is,1,2007,162,1,Small one on fin?,-122.9941,48.54748,,,,,,
12.7.16,4862,South of Richmond Beach,1,1940,197,0,Stomach cut out,-122.4023,47.74364,,,,,,
12.7.16,4862,South of Richmond Beach,1,1940,126,0,Spot on branchiostegals,-122.4023,47.74364,,,,,,
12.7.16,4862,South of Richmond Beach,1,1940,111,0,,-122.4023,47.74364,,,,,,
12.15.16,4427,Useless Bay,1,1938,105,0,,-122.492,47.96954,,,,,,
11.1.16,UW 151705,San Juan Is,1,2007,174,2,Eyed side. Caudal fin.,-122.9941,48.54748,,,,,,
11.1.16,UW 151706,San Juan Is,1,2007,173,2,"Ventral, dorsal fin.",-122.9941,48.54748,,,,,,
11.1.16,UW 151711,San Juan Is,1,2007,161,2,On fins. Small spots,-122.9941,48.54748,,,,,,
11.1.16,UW 151714,San Juan Is,1,2007,171,2,Large worms on fins,-122.9941,48.54748,,,,,,
11.1.16,UW 151707,San Juan Is,1,2007,166,3,Dorsal side,-122.9941,48.54748,,,,,,
11.16.16,UW154470,San Juan Is Upright Head,1,2007,155,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154471,San Juan Is Upright Head,1,2007,151,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154472,San Juan Is Upright Head,1,2007,157,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154475,San Juan Is Upright Head,1,2007,139,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154476,San Juan Is Upright Head,1,2007,140,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154477,San Juan Is Upright Head,1,2007,177,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154478,San Juan Is Upright Head,1,2007,150,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154479,San Juan Is Upright Head,1,2007,144,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154480,San Juan Is Upright Head,1,2007,167,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154481,San Juan Is Upright Head,1,2007,169,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154482,San Juan Is Upright Head,1,2007,161,0,,-122.9941,48.54748,,,,,,
11.16.16,UW154483,San Juan Is Upright Head,1,2007,115,0,Lots of discoloration,-122.9941,48.54748,,,,,,
11.16.16,UW154473,San Juan Is Upright Head,1,2007,181,1,Small bulge on dorsal fin,-122.9941,48.54748,,,,,,
11.16.16,UW154474,San Juan Is Upright Head,1,2007,169,1,Tiny discoloration ventral fin,-122.9941,48.54748,,,,,,
10.25.16,UW 119985,San Juan Is,1,2008,200,0,,-122.9941,48.54748,,,,,,
12.7.16,UW119983,San Juan Is Upright Head,1,2008,176,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119989,San Juan Is Upright Head,1,2008,213,0,Some discoloration,-122.9941,48.54748,,,,,,
11.1.16,UW 119981,San Juan Is Upright Head,1,2008,175,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119982,San Juan Is Upright Head,1,2008,191,0,Worm stuck on outside?,-122.9941,48.54748,,,,,,
11.1.16,UW 119986,San Juan Is Upright Head,1,2008,192,0,Weird clump of white in cut,-122.9941,48.54748,,,,,,
11.1.16,UW 119984,San Juan Is Upright Head,1,2008,211,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119988,San Juan Is Upright Head,1,2008,190,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119957,San Juan Is Upright Head,1,2008,200,0,,-122.9941,48.54748,,,,,,
11.1.16,UW 119958,San Juan Is Upright Head,1,2008,209,1,Possible worm lump,-122.9941,48.54748,,,,,,
11.2.16,UW 119987,San Juan Is Upright Head,1,2008,217,1,Small specks on ventral fins,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,134,0,,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,98,0,,-122.9941,48.54748,,,,,,
12.7.16,UW152927,San Juan Is,1,2009,166,1,Large discoloration ventral,-122.9941,48.54748,,,,,,
11.30.16,UW153575,Friday Harbor SJI,1,2013,130,1,Dorsal fin,-122.9941,48.54748,,,,,,
11.1.16,UW 153582,Friday Harbor SJI,1,2013,248,2,Lumps. Possible worms,-122.9941,48.54748,,,,,,
11.1.16,UW 153583,Friday Harbor SJI,1,2013,250,3,Fin lumps,-122.9941,48.54748,,,,,,
11.30.16,UW155822,Snohomish Everett,1,2015,126,0,,-122.2333,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,137,0,,-122.25,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,130,0,,-122.25,47.95,,,,,,
11.30.16,UW155836,Snohomish Everett,1,2015,117,0,,-122.25,47.95,,,,,,
